Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.52  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,1s
Total data points,145       
Trigger,0         
Start time,2023-08-11,15:57:19
End time,2023-08-11,15:59:44
Trigger time,2023-08-11,15:57:20
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",DC,5V,,Off,+14.43,-18.40,[GPM],28,5,6,0
CH2,"ACH 2","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+2000.0,-200.0,[degC],9,22,8,0
CH4," CH 4","M",DC,5V,,Off,+15.000,-22.500,[PSI],21,0,21,0
CH5," CH 5","M",DC,5V,,Off,+15.000,-22.500,[PSI],28,16,2,0
CH6," CH 6","M",DC,5V,,Off,+7.499,-11.250,[PSI],5,23,30,0
CH7," CH 7","M",DC,5V,,Off,+7.500,-11.250,[PSI],30,23,1,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,INST,L,,500000,0,[C],28,5,6,0
Pulse2,INST,L,,500000,0,[C],0,13,23,0
Pulse3,INST,L,,500000,0,[C],9,22,8,0
Pulse4,INST,L,,500000,0,[C],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pulse1,Pulse2,Pulse3,Pulse4,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"GPM","°C","°C","PSI","PSI","PSI","PSI","C","C","C","C","A1234567890","ALP1-4","AO1234"
        35,2023/08/11 15:57:54,  0,+  1.77,+  26.8,+  27.0,+ 4.067,- 0.227,+ 4.364,- 0.518,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        36,2023/08/11 15:57:55,  0,+  1.81,+  26.8,+  27.0,+ 4.320,- 0.221,+ 4.828,- 0.550,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        37,2023/08/11 15:57:56,  0,+  2.17,+  26.8,+  27.0,+ 4.808,- 0.216,+ 5.237,- 0.550,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        38,2023/08/11 15:57:57,  0,+  2.27,+  26.8,+  27.0,+ 5.168,- 0.218,+ 5.427,- 0.451,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        39,2023/08/11 15:57:58,  0,+  2.48,+  26.8,+  27.0,+ 5.498,- 0.210,+ 5.812,- 0.522,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        40,2023/08/11 15:57:59,  0,+  2.54,+  26.8,+  27.0,+ 6.066,- 0.231,+ 6.395,- 0.564,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        41,2023/08/11 15:58:00,  0,+  2.48,+  26.8,+  27.0,+ 6.446,- 0.186,+ 6.698,- 0.487,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        42,2023/08/11 15:58:01,  0,+  2.69,+  26.7,+  26.9,+ 6.806,- 0.186,+ 7.069,- 0.480,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        43,2023/08/11 15:58:02,  0,+  2.72,+  26.8,+  27.0,+ 7.294,- 0.169,+ 7.658,- 0.495,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        44,2023/08/11 15:58:03,  0,+  2.69,+  26.7,+  27.0,+ 7.710,- 0.189,+ 7.993,- 0.482,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        45,2023/08/11 15:58:04,  0,+  2.63,+  26.8,+  27.0,+ 8.068,- 0.234,+ 8.365,- 0.494,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        46,2023/08/11 15:58:05,  0,+  3.12,+  26.9,+  26.9,+ 8.490,- 0.158,+ 8.817,- 0.386,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        47,2023/08/11 15:58:06,  0,+  3.18,+  26.9,+  27.0,+ 9.225,- 0.197,+ 9.517,- 0.468,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        48,2023/08/11 15:58:07,  0,+  3.15,+  26.9,+  27.0,+ 9.583,- 0.206,+ 9.767,- 0.433,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        49,2023/08/11 15:58:08,  0,+  2.96,+  26.9,+  27.0,+ 9.992,- 0.174,+10.190,- 0.468,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        50,2023/08/11 15:58:09,  0,+  3.39,+  26.8,+  27.0,+10.928,- 0.216,+11.044,- 0.459,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
        51,2023/08/11 15:58:10,  0,+  3.09,+  26.9,+  26.9,+11.248,- 0.186,+11.452,- 0.398,        0,        0,        0,        0,LLLLLLLLLL,LLLL,LLLL
