t,ax,ay,az,gx,gy,gz
23.5,8968,8240,-12416,582,-129,2
23.6,8872,8340,-12468,537,-179,47
23.7,8908,8172,-12588,537,-160,37
23.8,8896,8172,-12472,537,-125,48
23.9,8984,8320,-12588,523,-124,63
24,8912,8144,-12572,522,-150,42
24.1,8836,8248,-12344,589,-241,35
24.2,8900,8196,-12480,607,-239,72
24.3,8936,8260,-12508,546,-146,32
24.4,8908,8212,-12468,526,-145,39
24.5,8872,8212,-12492,547,-120,-3
24.6,8868,8252,-12236,599,-244,38
24.7,8908,8316,-12412,494,-99,42
24.8,8904,8188,-12584,488,-92,3
24.9,8912,8196,-12528,599,-174,47
25,8968,8216,-12580,549,-147,20
25.1,8864,8180,-12424,594,-191,23
25.2,8900,8172,-12376,641,-197,26
25.3,8884,8196,-12352,613,-201,67
25.4,8904,8164,-12416,593,-133,59
25.5,8868,8268,-12488,666,-252,106
25.6,8988,8172,-12584,569,-215,48
25.7,8840,8272,-12332,549,-177,40
25.8,8936,8240,-12520,485,-76,29
25.9,8836,8164,-12468,566,-175,38
26,8904,8124,-12176,561,-96,40
26.1,8872,8116,-12132,608,-279,34
26.2,8840,8208,-12516,543,-132,67
26.3,8888,8236,-12416,459,-152,39
26.4,8952,8236,-12608,472,-76,18
26.5,8944,8244,-12564,546,-165,63
26.6,8872,8236,-12368,535,-134,29
26.7,8820,8252,-12528,536,-108,33
26.8,8796,8276,-12392,573,-162,22
26.9,8928,8164,-12408,550,-186,57
27,8856,8148,-12468,539,-120,34
27.1,8872,8132,-12444,546,-159,13
27.2,8824,8244,-12456,528,-162,75
27.3,8924,8208,-12440,562,-196,66
27.4,8856,8164,-12372,534,-193,32
27.5,8836,8184,-12504,508,-98,33
27.6,8844,8212,-12400,493,-131,29
27.7,8868,8240,-12336,605,-193,68
27.8,8860,8152,-12404,516,-175,18
27.9,8832,8240,-12448,575,-191,31
28,8872,8228,-12556,515,-168,52
28.1,8868,8196,-12540,502,-129,37
28.2,8816,8184,-12336,543,-154,24
28.3,8952,8228,-12424,476,-116,21
28.4,8900,8240,-12816,441,-54,32
28.5,8808,8184,-12368,598,-159,75
28.6,8856,8144,-12396,591,-228,37
28.7,8880,8196,-12460,617,-231,46
28.8,8904,8268,-12476,545,-107,64
28.9,8904,8156,-12692,446,-108,53
29,8864,8300,-12292,567,-232,-8
29.1,8848,8140,-12436,671,-247,80
29.2,8880,8128,-12424,551,-130,53
29.3,8872,8208,-12336,734,-318,89
29.4,8940,8192,-12440,524,-168,16
29.5,8764,8236,-12040,1004,-588,135
29.6,8852,8528,-11212,989,-603,102
29.7,8856,8208,-12712,896,-591,133
29.8,8936,8172,-12840,555,-167,37
29.9,8772,7940,-12252,628,-76,-59
30,8860,8712,-11600,228,328,-154
30.1,9708,8268,-12544,-1059,940,-297
30.2,7916,8908,-12384,1198,-128,-291
30.3,8920,8116,-12372,798,-386,101
30.4,8896,8424,-12176,624,-222,26
30.5,8924,8164,-12496,485,-90,38
30.6,8808,8212,-12460,475,-101,26
30.7,8916,8220,-12316,559,-146,53
30.8,8888,8084,-12748,520,1,73
30.9,8936,8204,-12380,610,-186,73
31,8816,8152,-12472,614,-230,44
31.1,8784,8168,-12408,536,-148,49
31.2,8972,8252,-12516,592,-186,46
31.3,8764,8152,-12376,552,-152,47
31.4,8900,8168,-12356,515,-162,25
31.5,0,0,0,0,0,0
31.6,8900,8204,-12384,567,-141,31
31.7,8948,7880,-12684,464,-88,31
31.8,8848,8252,-12188,551,-141,38
31.9,8944,8228,-12116,1146,-733,136
32,8936,8304,-12344,508,-119,32
32.1,9712,8796,-12080,1351,1393,-646
32.2,4232,3692,-15556,-12421,9262,-12125
32.3,9004,8336,-12132,498,-266,147
32.4,9156,8056,-12464,546,22,-244
32.5,9084,8268,-12212,562,-163,33
32.6,9004,8304,-12428,557,-155,23
32.7,9048,8296,-12220,541,-115,32
32.8,9060,8324,-12164,544,-155,49
32.9,9032,8372,-12028,568,-185,46
33,9040,8336,-12184,538,-188,60
33.1,9008,8276,-12140,517,-131,46
33.2,9076,8344,-12264,534,-153,26
33.3,9076,8316,-12208,537,-151,58
33.4,8996,8264,-12160,516,-185,27
33.5,9036,8292,-12304,516,-163,25
33.6,9012,8348,-12208,553,-195,66
33.7,9332,8584,-12188,-459,-106,-1579
33.8,9160,8420,-12032,551,-139,77
33.9,9184,8496,-11956,568,-127,60
34,9188,8412,-11464,601,-218,-87
34.1,9520,7688,-12268,481,-103,-83
34.2,9500,7648,-12248,573,-179,144
34.3,9420,7760,-11924,452,-358,-88
34.4,9372,8128,-12204,591,-186,57
34.5,9252,8108,-12096,484,-118,-10
34.6,9584,7840,-12604,544,-244,161
34.7,9648,7976,-12172,357,-195,-147
34.8,9500,7776,-12172,548,-159,139
34.9,9504,7836,-12076,389,-211,-60
35,9516,7996,-12100,714,-479,526
35.1,9584,7816,-12156,388,-256,-128
35.2,9232,8304,-11904,600,-41,102
35.3,9300,8316,-12116,545,-134,8
35.4,9228,8444,-12048,533,-186,28
35.5,9308,8156,-12044,647,-207,217
35.6,9348,8316,-12084,371,-230,-116
35.7,9384,8200,-12172,508,-136,9
35.8,9372,8188,-12028,593,-172,96
35.9,9316,8296,-12092,569,-151,102
