t,ax,ay,az,gx,gy,gz
24.10,7928,140,-15480,3805,-9206,859
24.20,8204,-24,-16240,4965,-10329,1667
24.30,8512,-312,-16876,5691,-11272,2176
24.40,8704,-432,-17236,5718,-11818,2290
24.50,8788,-524,-17532,5192,-11937,2037
24.60,8932,-300,-17700,4679,-11651,1787
24.70,8952,-164,-17732,4566,-10928,1956
24.80,8864,8,-17208,4791,-9726,2467
24.90,8712,-32,-16808,4885,-8403,2915
25.00,8452,-108,-16296,4708,-6816,3179
25.10,8180,-300,-15724,3895,-5077,2903
25.20,7908,-452,-15296,2763,-3154,2284
25.30,7856,-436,-15020,1416,-1158,1494
25.40,7828,-328,-15132,312,882,797
25.50,7984,-240,-15356,-414,2805,520
25.60,8100,-96,-15668,-851,4647,491
25.70,8176,-212,-16012,-1052,6449,559
25.80,8284,-332,-16376,-1413,8076,519
25.90,8376,-400,-16928,-2016,9477,222
26.00,8552,-628,-17168,-2828,10485,-265
26.10,8600,-640,-17380,-3826,11217,-926
26.20,8748,-484,-17676,-4455,11561,-1252
26.30,8588,-340,-17728,-4322,11576,-1139
26.40,8556,-196,-17268,-3767,11179,-676
26.50,8172,-232,-16476,-3153,10402,-241
26.60,7840,-408,-15660,-2696,9187,-29
26.70,7532,-476,-14876,-2655,7647,-214
26.80,7272,-412,-14108,-2680,5763,-447
26.90,7092,-280,-13740,-2521,3627,-514
27.00,7052,-76,-13376,-1967,1304,-372
27.10,7092,-8,-13420,-1109,-901,57
27.20,7100,24,-13612,-211,-2928,515
27.30,7292,60,-13848,667,-4877,981
27.40,7380,-116,-14236,1374,-6648,1287
27.50,7584,-316,-14944,1812,-8465,1358
27.60,7900,-436,-15572,1920,-9962,1228
27.70,8192,-392,-16280,1951,-11091,995
27.80,8476,-360,-17068,2168,-11863,951
27.90,8732,-136,-17492,2622,-12124,1161
28.00,8800,-108,-17708,3264,-11970,1582
28.10,8868,-212,-17544,3706,-11367,1961
28.20,8668,-328,-17372,3691,-10465,2005
28.30,8528,-416,-16872,3342,-9220,1827
28.40,8376,-316,-16372,2753,-7757,1511
28.50,8204,-244,-16060,2280,-6005,1174
28.60,8112,-96,-15660,1953,-4016,1070
28.70,8012,20,-15644,1812,-2006,1099
28.80,8020,12,-15416,1744,94,1172
28.90,8000,-88,-15488,1550,1921,1133
29.00,7912,-232,-15472,1223,3890,942
29.10,8036,-372,-15880,640,5702,518
29.20,8140,-384,-16116,-46,7303,31
29.30,8280,-472,-16516,-680,8629,-512
29.40,8436,-412,-17028,-1185,9881,-852
29.50,8624,-248,-17332,-1400,10820,-1031
29.60,8612,-256,-17572,-1302,11428,-955
29.70,8520,-356,-17364,-1245,11659,-924
29.80,8356,-496,-16980,-1348,11353,-1154
29.90,8116,-620,-16544,-1709,10679,-1487
30.00,7908,-516,-15860,-2017,9491,-1895
30.10,7628,-392,-15164,-2058,8015,-2020
30.20,7520,-264,-14568,-1707,6286,-1991
30.30,7272,-172,-13928,-1103,4256,-1709
30.40,7160,-104,-13512,-429,2108,-1472
30.50,7036,-280,-13268,119,-147,-1355
30.60,7012,-212,-13424,511,-2342,-1339
30.70,7188,-336,-13800,770,-4605,-1352
30.80,7348,-208,-14312,1233,-6509,-1359
30.90,7696,-60,-15000,1908,-8248,-1107
31.00,8052,-68,-15760,2757,-9660,-730
31.10,8284,-104,-16380,3528,-10571,-244
31.20,8452,-228,-17060,4200,-11219,81
31.30,8620,-392,-17340,4435,-11534,199
31.40,8688,-368,-17472,4395,-11406,164
31.50,8776,-304,-17488,4298,-10898,117
31.60,8776,-200,-17248,4322,-10039,200
31.70,8596,-24,-16836,4477,-8780,412
31.80,8584,-52,-16624,4543,-7375,676
31.90,8400,-148,-16152,4375,-5809,826
32.00,8028,-280,-15608,3921,-4063,672
32.10,7972,-264,-15320,3229,-2180,310
32.20,7864,-384,-15296,2293,-294,-178
32.30,7964,-236,-15384,1450,1678,-644
32.40,8064,-244,-15512,721,3477,-1037
32.50,8080,-164,-15776,176,5259,-1226
32.60,8120,-220,-16092,-241,6807,-1382
32.70,8232,-360,-16580,-708,8154,-1559
32.80,8416,-464,-16752,-1376,9283,-1842
32.90,8496,-636,-16964,-2155,10037,-2328
33.00,8564,-488,-17220,-2939,10392,-2791
33.10,8516,-368,-17104,-3406,10438,-3019
33.20,8432,-364,-16952,-3418,10061,-2942
33.30,8328,-180,-16404,-3122,9403,-2646
33.40,7960,-188,-15784,-2780,8303,-2308
33.50,7704,-304,-15100,-2449,6912,-2117
33.60,7496,-248,-14512,-2205,5238,-2042
33.70,7276,-224,-13884,-1880,3291,-1995
33.80,7184,-144,-13568,-1376,1242,-1730
33.90,7256,28,-13752,-544,-839,-1380
34.00,7244,180,-13776,371,-2759,-852
34.10,7360,196,-14160,1435,-4520,-246
34.20,7588,-12,-14676,2487,-6188,369
34.30,7804,-188,-15172,3281,-7614,781
34.40,7972,-200,-15596,3797,-8815,968
34.50,8192,-272,-16124,3999,-9748,1048
34.60,8484,-316,-16760,4081,-10328,1035
34.70,8612,-196,-17172,4312,-10488,1303
34.80,8816,-44,-17364,4760,-10314,1689
34.90,8848,-92,-17272,5161,-9770,2251
35.00,8752,-84,-17112,5327,-8924,2574
35.10,8544,-300,-16744,5061,-7879,2646
35.20,8412,-440,-16292,4367,-6593,2387
35.30,8236,-324,-15888,3436,-5099,1864
35.40,8104,-244,-15520,2545,-3413,1451
35.50,8036,-128,-15520,1882,-1645,1212
35.60,8068,-152,-15420,1414,235,1120
35.70,7968,-124,-15456,1027,2017,1040
35.80,8016,-188,-15516,556,3762,867
35.90,8052,-392,-15680,-142,5244,488
36.00,8180,-476,-15984,-1033,6648,-45
36.10,8356,-572,-16364,-2003,7844,-677
36.20,8396,-436,-16716,-2834,8814,-1152
36.30,8464,-328,-17088,-3254,9623,-1364
36.40,8612,-212,-17312,-3316,10042,-1262
36.50,8468,-300,-17032,-3187,10130,-1031
36.60,8296,-472,-16664,-3132,9739,-1005
36.70,8140,-388,-16320,-3246,9100,-1169
36.80,7848,-492,-15696,-3410,8017,-1336
36.90,7652,-348,-15060,-3345,6636,-1368
37.00,7548,-152,-14752,-2881,5035,-1210
37.10,7452,-40,-14084,-2139,3241,-850
37.20,7268,-24,-13872,-1300,1403,-389
37.30,7152,-40,-13704,-536,-501,-16
37.40,7236,-120,-13960,60,-2317,170
37.50,7352,-228,-14072,543,-4116,292
37.60,7528,-224,-14392,1008,-5751,422
37.70,7732,-132,-14960,1506,-7272,536
37.80,7968,-88,-15632,2083,-8502,752
37.90,8160,-168,-16112,2724,-9410,978
38.00,8356,-200,-16616,3326,-10064,1238
38.10,8492,-296,-16876,3740,-10355,1483
38.20,8664,-288,-17068,3950,-10302,1629
38.30,8636,-328,-17096,3909,-9869,1632
38.40,8656,-252,-17072,3834,-9147,1635
38.50,8516,-128,-16640,3715,-8127,1658
38.60,8420,-164,-16424,3546,-6839,1658
38.70,8312,-144,-16020,3324,-5305,1619
38.80,8112,-176,-15720,3000,-3676,1555
38.90,8064,-288,-15504,2521,-1865,1352
39.00,7996,-244,-15328,1954,-41,1070
39.10,7948,-260,-15444,1308,1676,724
39.20,8000,-252,-15468,681,3350,342
39.30,8056,-260,-15732,103,4882,29
39.40,8168,-288,-16040,-356,6228,-276
39.50,8260,-316,-16408,-782,7445,-518
39.60,8308,-392,-16732,-1222,8505,-727
39.70,8388,-420,-16856,-1610,9296,-1071
39.80,8384,-468,-16828,-2077,9739,-1367
39.90,8376,-428,-16832,-2406,9879,-1604
40.00,8256,-464,-16532,-2590,9612,-1743
40.10,8196,-336,-16416,-2575,9047,-1771
40.20,7924,-288,-15828,-2452,8120,-1783
40.30,7772,-264,-15268,-2188,6895,-1680
40.40,7544,-272,-14728,-1911,5368,-1650
40.50,7428,-180,-14260,-1580,3674,-1551
40.60,7296,-216,-13868,-1192,1716,-1531
40.70,7252,-156,-13868,-699,-311,-1361
40.80,7272,-88,-13952,-49,-2143,-1109
40.90,7440,-24,-14080,644,-3915,-862
41.00,7568,-140,-14480,1394,-5488,-511
41.10,7816,-68,-15000,2177,-6996,-146
41.20,7956,-156,-15488,2835,-8108,123
41.30,8208,-204,-16044,3286,-9057,294
41.40,8312,-324,-16468,3603,-9654,377
41.50,8412,-204,-16768,3879,-9943,460
41.60,8604,-264,-17012,4165,-9879,621
41.70,8692,-148,-17140,4403,-9463,864
41.80,8652,-80,-16900,4614,-8741,1127
41.90,8548,-196,-16644,4657,-7845,1302
42.00,8460,-224,-16400,4438,-6654,1291
42.10,8276,-212,-16028,4012,-5214,1133
42.20,8240,-244,-15688,3414,-3725,886
42.30,8076,-192,-15500,2816,-2052,607
42.40,7980,-196,-15312,2211,-392,350
42.50,8024,-240,-15452,1670,1252,132
42.60,7988,-252,-15432,1185,2834,-57
42.70,8100,-280,-15720,602,4352,-378
42.80,8032,-420,-15956,-62,5708,-744
42.90,8164,-476,-16156,-726,6841,-1196
43.00,8292,-488,-16424,-1508,7806,-1649
43.10,8420,-460,-16648,-2143,8570,-1998
43.20,8448,-404,-16844,-2556,8976,-2177
43.30,8460,-344,-16672,-2762,9115,-2201
43.40,8236,-388,-16588,-2852,8968,-2235
43.50,8228,-412,-16172,-2899,8398,-2180
43.60,8060,-376,-15832,-2923,7518,-2251
43.70,7828,-304,-15264,-2869,6359,-2244
43.80,7700,-220,-14692,-2526,4964,-2129
43.90,7616,-156,-14464,-2061,3381,-1892
44.00,7456,-40,-14172,-1391,1635,-1593
44.10,7344,-56,-13976,-649,-163,-1188
44.20,7408,4,-13928,67,-1792,-871
44.30,7480,-36,-14168,729,-3306,-567
44.40,7580,-64,-14520,1414,-4796,-241
44.50,7704,-120,-14944,2129,-6248,60
44.60,7892,-52,-15436,2820,-7317,353
44.70,8100,-80,-15776,3393,-8221,660
44.80,8284,-168,-16140,3899,-8801,875
44.90,8464,-168,-16576,4288,-9165,1160
45.00,8576,-204,-16880,4588,-9162,1400
45.10,8608,-220,-16896,4752,-8897,1615
45.20,8652,-200,-16736,4788,-8363,1761
45.30,8548,-156,-16748,4656,-7468,1858
45.40,8420,-244,-16328,4418,-6383,1878
45.50,8344,-228,-16076,4024,-5146,1804
45.60,8208,-236,-15788,3518,-3665,1669
45.70,8080,-292,-15564,2863,-2200,1379
45.80,8052,-196,-15412,2218,-596,1098
