t,ax,ay,az,gx,gy,gz
19.60,11232,-2340,-15208,3158,-11384,4272
19.70,11372,-2236,-15556,3095,-11604,4259
19.80,11352,-2240,-15720,2985,-11385,4254
19.90,11284,-2272,-15708,2862,-10648,4167
20.00,11088,-2304,-15396,2648,-9572,4002
20.10,10916,-2148,-14928,2252,-8200,3640
20.20,10636,-2168,-14416,1855,-6443,3176
20.30,10312,-2020,-13956,1170,-4627,2540
20.40,10028,-2108,-13776,468,-2553,1832
20.50,9916,-2168,-13708,-339,-429,1050
20.60,10052,-2048,-13700,-986,1616,294
20.70,10240,-2004,-14124,-1442,3636,-248
20.80,10404,-1928,-14440,-1627,5784,-549
20.90,10652,-2096,-14888,-1577,7692,-669
21.00,10944,-2352,-15276,-1525,9401,-849
21.10,11048,-2544,-15388,-1665,10648,-1053
21.20,11220,-2564,-15544,-1904,11476,-1370
21.30,11288,-2608,-15732,-2044,11881,-1543
21.40,11084,-2580,-15348,-2004,11776,-1476
21.50,10972,-2512,-14812,-1910,11209,-1320
21.60,10556,-2420,-14168,-1879,10143,-1269
21.70,10192,-2256,-13480,-1816,8662,-1100
21.80,9864,-1852,-12824,-1467,6933,-696
21.90,9560,-1792,-12256,-939,4975,-217
22.00,9292,-1652,-11740,-478,2958,240
22.10,9168,-1664,-11500,-156,750,650
22.20,9176,-1648,-11620,9,-1429,904
22.30,9416,-1820,-11860,275,-3491,1187
22.40,9620,-1808,-12296,576,-5571,1515
22.50,9964,-1948,-12764,897,-7401,1743
22.60,10156,-2140,-13420,981,-9092,1788
22.70,10576,-2248,-14064,1014,-10471,1743
22.80,10928,-2324,-14780,1178,-11502,1687
22.90,11212,-2248,-15404,1541,-11989,1722
23.00,11320,-2332,-15576,1963,-11940,1785
23.10,11316,-2412,-15524,2192,-11556,1674
23.20,11180,-2344,-15436,2241,-10759,1486
23.30,10948,-2108,-15244,2257,-9474,1200
23.40,10748,-2060,-14880,2267,-7973,959
23.50,10456,-2132,-14528,2091,-6145,581
23.60,10224,-2108,-14156,1818,-4308,79
23.70,10084,-1980,-13952,1443,-2232,-479
23.80,10112,-1896,-13952,1175,-94,-953
23.90,10116,-1992,-13964,1014,2061,-1391
24.00,10268,-1932,-14148,992,4183,-1731
24.10,10388,-2072,-14644,861,6089,-2036
24.20,10652,-2304,-14956,705,7811,-2272
24.30,10852,-2276,-15092,543,9216,-2588
24.40,11060,-2508,-15400,209,10191,-2882
24.50,11084,-2588,-15376,-181,10792,-3281
24.60,11212,-2584,-15308,-494,11051,-3485
24.70,11136,-2864,-15088,-748,10877,-3611
24.80,10812,-2488,-14584,-897,10206,-3649
24.90,10516,-2276,-13976,-1014,9122,-3541
25.00,10240,-2068,-13392,-781,7724,-3196
25.10,9912,-1852,-12896,-417,6010,-2796
25.20,9572,-1624,-12344,25,4184,-2244
25.30,9412,-1584,-11904,471,2288,-1712
25.40,9340,-1508,-11692,907,170,-1226
25.50,9420,-1668,-11652,1396,-1865,-721
25.60,9488,-1576,-11956,1889,-4013,-232
25.70,9704,-1696,-12528,2418,-5905,294
25.80,10092,-1704,-13060,2876,-7577,776
25.90,10396,-1900,-13788,3299,-8980,1189
26.00,10736,-2016,-14468,3657,-10103,1518
26.10,11060,-2064,-14948,4046,-10792,1846
26.20,11212,-2220,-15364,4350,-11052,2118
26.30,11308,-2136,-15484,4559,-10917,2353
26.40,11308,-2176,-15440,4564,-10267,2423
26.50,11212,-2344,-15340,4440,-9404,2316
26.60,10924,-2184,-14964,4111,-8207,2142
26.70,10684,-2132,-14572,3641,-6678,1791
26.80,10452,-2180,-14120,3009,-4956,1213
26.90,10216,-2172,-13968,2261,-3163,618
27.00,10100,-2100,-13768,1443,-1277,-49
27.10,10072,-2132,-13852,781,668,-696
27.20,10172,-2112,-13888,183,2501,-1249
27.30,10340,-2124,-14232,-399,4297,-1708
27.40,10488,-2276,-14576,-810,6012,-2110
27.50,10720,-2400,-14864,-1228,7539,-2444
27.60,10972,-2568,-14944,-1824,8743,-2827
27.70,11084,-2552,-15176,-2391,9551,-3190
27.80,11184,-2620,-15240,-2872,9999,-3439
27.90,11044,-2552,-15180,-3173,10049,-3426
28.00,10924,-2476,-14776,-3297,9760,-3286
28.10,10760,-2240,-14444,-3336,9032,-3058
28.20,10416,-2040,-13960,-3034,7975,-2547
28.30,10124,-1768,-13212,-2508,6619,-1953
28.40,9844,-1692,-12760,-1796,5004,-1270
28.50,9580,-1496,-12148,-1173,3144,-586
28.60,9344,-1480,-11852,-542,1200,103
28.70,9396,-1512,-11940,46,-727,688
28.80,9564,-1536,-12044,577,-2514,1236
28.90,9672,-1552,-12288,1155,-4411,1789
29.00,9916,-1748,-12824,1644,-6119,2264
29.10,10168,-1900,-13340,2013,-7685,2615
29.20,10516,-2008,-13896,2255,-8926,2943
29.30,10820,-2008,-14536,2454,-9877,3140
29.40,11060,-2136,-14968,2786,-10318,3393
29.50,11260,-2200,-15308,2949,-10427,3592
29.60,11240,-2156,-15352,2949,-10170,3580
29.70,11100,-2232,-15208,2847,-9420,3487
29.80,10976,-2188,-15040,2687,-8407,3314
29.90,10764,-2128,-14612,2382,-7160,3065
30.00,10512,-2152,-14344,1963,-5592,2582
30.10,10300,-2068,-14184,1345,-3866,1989
30.20,10156,-2064,-13888,736,-2053,1377
30.30,10060,-2028,-13840,195,-82,785
30.40,10160,-2048,-13860,-317,1614,282
30.50,10216,-1996,-14148,-634,3423,-147
30.60,10420,-2064,-14400,-800,5258,-464
30.70,10632,-2088,-14676,-883,6978,-661
30.80,10880,-2304,-14940,-1017,8311,-890
30.90,10928,-2460,-15064,-1316,9414,-1182
31.00,11020,-2536,-15148,-1656,10107,-1477
31.10,11060,-2480,-15052,-1869,10450,-1599
31.20,10964,-2484,-14996,-1942,10370,-1569
31.30,10752,-2444,-14604,-2072,9804,-1570
31.40,10516,-2276,-14056,-2136,8872,-1479
31.50,10276,-2020,-13528,-1911,7702,-1195
31.60,10020,-1852,-13032,-1469,6179,-755
31.70,9680,-1764,-12488,-1014,4450,-270
31.80,9472,-1772,-12140,-696,2547,80
31.90,9408,-1724,-11924,-469,651,373
32.00,9336,-1676,-11920,-185,-1231,714
32.10,9564,-1812,-12124,184,-3219,1064
32.20,9664,-1832,-12432,459,-5004,1364
32.30,9900,-1952,-12872,598,-6765,1498
32.40,10256,-2084,-13448,715,-8173,1568
32.50,10472,-2168,-14072,893,-9391,1629
32.60,10820,-2076,-14660,1292,-10163,1776
32.70,11080,-2172,-14928,1669,-10597,1905
32.80,11112,-2220,-15208,2002,-10581,1932
32.90,11084,-2224,-15236,2158,-10214,1885
33.00,11020,-2196,-15216,2210,-9454,1680
33.10,10920,-2192,-15028,2303,-8375,1526
33.20,10672,-2184,-14676,2125,-7057,1207
33.30,10448,-2088,-14304,1945,-5412,770
33.40,10316,-2016,-14204,1713,-3685,401
33.50,10236,-1944,-13964,1535,-1840,0
33.60,10172,-2052,-13988,1346,1,-343
33.70,10200,-1968,-13980,1168,1800,-758
33.80,10264,-1964,-14268,1025,3697,-1089
33.90,10452,-2108,-14536,850,5426,-1389
34.00,10568,-2248,-14616,737,6912,-1661
34.10,10688,-2432,-14808,524,8191,-2026
34.20,10840,-2416,-14984,157,9093,-2365
34.30,10976,-2528,-15172,-226,9640,-2709
34.40,10940,-2492,-15040,-613,9832,-2927
34.50,10876,-2484,-14648,-892,9650,-3089
34.60,10672,-2372,-14596,-1060,9155,-3096
34.70,10508,-2128,-13848,-1027,8257,-2971
34.80,10240,-1936,-13628,-781,7079,-2693
34.90,10036,-1856,-13004,-418,5662,-2240
35.00,9768,-1712,-12420,-34,3922,-1827
35.10,9544,-1732,-12248,255,2173,-1451
35.20,9408,-1772,-12012,536,270,-1159
35.30,9460,-1732,-12076,831,-1638,-768
35.40,9676,-1692,-12152,1144,-3437,-379
35.50,9828,-1760,-12524,1580,-5238,54
35.60,10036,-1836,-13084,1927,-6731,389
35.70,10396,-1952,-13556,2344,-8059,727
35.80,10652,-1900,-14084,2843,-9008,1099
35.90,10844,-2012,-14668,3373,-9688,1482
36.00,11040,-2136,-15096,3823,-9922,1796
36.10,11196,-2252,-15172,4019,-9896,1982
36.20,11100,-2244,-15164,4036,-9493,2003
36.30,11068,-2232,-15056,3872,-8762,1914
36.40,10876,-2168,-14924,3669,-7701,1685
36.50,10644,-2156,-14684,3227,-6439,1334
36.60,10528,-2084,-14264,2868,-4982,977
36.70,10424,-2068,-14120,2440,-3273,572
36.80,10216,-2088,-13912,2060,-1547,158
36.90,10156,-2160,-13900,1544,267,-301
37.00,10188,-2068,-14036,1003,1940,-808
37.10,10304,-2144,-14132,495,3631,-1272
37.20,10424,-2184,-14360,65,5161,-1650
37.30,10544,-2296,-14556,-453,6481,-2061
37.40,10724,-2428,-14768,-1013,7578,-2549
37.50,10884,-2492,-14884,-1625,8383,-2922
37.60,10936,-2504,-14972,-2059,8883,-3117
37.70,10924,-2448,-14852,-2315,9063,-3190
37.80,10844,-2444,-14676,-2594,8825,-3172
37.90,10628,-2284,-14280,-2648,8220,-3010
38.00,10464,-2052,-13976,-2465,7417,-2628
38.10,10172,-1860,-13316,-2059,6255,-2121
38.20,9956,-1864,-12864,-1601,4829,-1596
38.30,9724,-1764,-12488,-1202,3215,-1156
38.40,9592,-1596,-12240,-756,1379,-608
38.50,9584,-1616,-12308,-264,-346,-46
38.60,9556,-1576,-12196,296,-2037,473
38.70,9672,-1628,-12420,804,-3622,1048
38.80,9900,-1724,-12784,1318,-5218,1466
38.90,10088,-1808,-13236,1755,-6610,1883
39.00,10448,-1872,-13856,2176,-7763,2283
39.10,10668,-2048,-14168,2539,-8581,2600
39.20,10940,-2108,-14620,2834,-9174,2866
39.30,10900,-2084,-14980,2995,-9347,3006
39.40,11052,-2184,-15000,3089,-9152,3103
39.50,10944,-2212,-14900,2998,-8689,3067
39.60,10916,-2148,-14840,2894,-7842,2934
39.70,10736,-2224,-14680,2599,-6730,2688
39.80,10568,-2112,-14340,2330,-5417,2434
39.90,10316,-2068,-14176,1976,-3894,2049
40.00,10244,-2072,-13856,1480,-2267,1561
40.10,10168,-2056,-13808,893,-512,1001
40.20,10104,-2128,-13988,436,1115,546
40.30,10268,-2112,-14072,-21,2731,39
40.40,10360,-2164,-14136,-349,4211,-374
40.50,10496,-2152,-14420,-667,5664,-662
40.60,10584,-2296,-14644,-942,6930,-936
40.70,10792,-2312,-14884,-1286,7940,-1255
40.80,10872,-2428,-14972,-1545,8714,-1494
40.90,10948,-2408,-14884,-1754,9150,-1623
41.00,10856,-2420,-14708,-1963,9230,-1669
41.10,10764,-2412,-14492,-2148,8911,-1703
41.20,10556,-2232,-14112,-2376,8152,-1691
41.30,10260,-2100,-13552,-2252,7185,-1552
41.40,10132,-1860,-13236,-1897,5968,-1096
41.50,9872,-1788,-12724,-1458,4489,-687
41.60,9652,-1704,-12416,-1031,2851,-233
41.70,9540,-1816,-12312,-689,1105,165
41.80,9556,-1708,-12240,-385,-615,486
41.90,9660,-1756,-12272,-19,-2334,800
42.00,9716,-1908,-12548,285,-3949,1109
42.10,9932,-1880,-12876,486,-5512,1328
42.20,10124,-2020,-13272,691,-6895,1464
42.30,10324,-2024,-13784,940,-8024,1624
42.40,10620,-2056,-14232,1307,-8776,1789
42.50,10836,-2108,-14664,1658,-9345,1987
42.60,10932,-2060,-14804,1952,-9449,2062
42.70,10972,-2148,-14936,2216,-9187,2051
42.80,10956,-2140,-15000,2388,-8621,2024
42.90,10856,-2180,-14900,2463,-7821,1898
43.00,10700,-2136,-14504,2413,-6666,1673
43.10,10568,-2148,-14460,2241,-5322,1348
43.20,10384,-2128,-14240,1928,-3838,949
43.30,10316,-2012,-14068,1708,-2174,541
43.40,10224,-2004,-14064,1416,-488,124
43.50,10208,-2032,-14000,1202,1142,-262
43.60,10304,-1984,-14140,964,2832,-624
43.70,10316,-2044,-14272,799,4332,-914
43.80,10560,-2160,-14556,664,5781,-1160
43.90,10632,-2256,-14608,478,6983,-1489
44.00,10752,-2432,-14696,123,7872,-1847
44.10,10884,-2448,-14808,-342,8446,-2197
44.20,10884,-2488,-14816,-703,8767,-2525
44.30,10780,-2364,-14640,-1014,8727,-2674
44.40,10732,-2324,-14388,-1231,8344,-2743
44.50,10480,-2112,-13884,-1285,7591,-2684
44.60,10320,-2096,-13648,-1134,6641,-2460
44.70,10080,-1904,-13036,-739,5423,-2070
44.80,9860,-1860,-12796,-418,3969,-1671
44.90,9724,-1844,-12512,-140,2406,-1358
45.00,9540,-1808,-12196,111,649,-1040
45.10,9660,-1772,-12284,358,-1062,-717
45.20,9680,-1764,-12392,638,-2759,-400
45.30,9808,-1876,-12692,1012,-4306,-112
45.40,9980,-1864,-13032,1309,-5823,196
45.50,10240,-1816,-13468,1738,-6979,583
45.60,10476,-2008,-13940,2320,-7885,956
45.70,10796,-1944,-14348,2799,-8553,1302
45.80,10864,-2092,-14588,3228,-8946,1578
45.90,10944,-2176,-14852,3424,-8972,1716
46.00,10892,-2192,-14964,3688,-8684,1796
46.10,10940,-2024,-14880,3675,-8018,1769
46.20,10780,-2140,-14724,3517,-7192,1610
46.30,10684,-2196,-14508,3270,-6080,1339
46.40,10488,-2092,-14368,2940,-4790,976
46.50,10360,-2088,-14228,2576,-3286,638
46.60,10212,-2084,-13952,2293,-1707,294
46.70,10224,-2056,-13936,1882,-96,-95
46.80,10204,-2072,-13968,1447,1400,-528
46.90,10264,-2120,-14032,1006,2912,-971
47.00,10336,-2156,-14264,559,4354,-1396
47.10,10556,-2148,-14388,89,5581,-1792
47.20,10648,-2404,-14400,-403,6582,-2141
47.30,10724,-2332,-14656,-967,7349,-2522
47.40,10876,-2436,-14732,-1458,7860,-2824
47.50,10948,-2388,-14552,-1804,8105,-2999
47.60,10716,-2316,-14488,-2093,7955,-3032
47.70,10732,-2208,-14276,-2256,7525,-3011
47.80,10396,-2064,-13856,-2144,6861,-2727
47.90,10356,-2032,-13496,-1891,5855,-2384
48.00,10060,-1788,-13120,-1592,4664,-1941
48.10,9880,-1704,-12672,-1196,3189,-1475
48.20,9732,-1704,-12560,-771,1597,-1005
48.30,9640,-1620,-12408,-333,28,-556
48.40,9708,-1604,-12432,132,-1483,-47
48.50,9796,-1696,-12540,610,-2955,345
48.60,9900,-1740,-12916,1045,-4362,785
48.70,10112,-1788,-13192,1476,-5618,1223
48.80,10288,-1768,-13580,1997,-6709,1630
48.90,10548,-1804,-13928,2464,-7587,2010
49.00,10684,-1968,-14256,2866,-8089,2296
49.10,10872,-2012,-14520,3147,-8298,2556
49.20,10944,-2032,-14752,3278,-8293,2704
49.30,10912,-2108,-14796,3269,-7912,2691
49.40,10840,-2156,-14816,3223,-7271,2683
49.50,10784,-2164,-14628,2979,-6350,2485
49.60,10684,-2068,-14356,2727,-5175,2285
49.70,10524,-2084,-14128,2392,-3870,1931
49.80,10372,-2160,-14048,1967,-2405,1555
49.90,10316,-2028,-14100,1490,-925,1086
50.00,10220,-2148,-13840,942,602,604
